,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,-5.421010862427522e-20,-1.3552527156068805e-20,0.00021212121212121226,-1.3552527156068805e-20
4,0.0023838383838383883,0.00331067961165049,0.032469696969696975,0.0004536082474226877
5,0.03922222222222222,0.019572815533980607,0.11950000000000001,0.009474226804123714
6,0.20631313131313128,0.053203883495145585,0.2801969696969697,0.05477319587628861
7,0.4320505050505051,0.10932038834951457,0.44113636363636366,0.2342577319587629
8,0.6051111111111112,0.17849514563106794,0.5725303030303031,0.4471958762886598
9,0.7234141414141415,0.24086407766990303,0.6579848484848485,0.6020309278350515
10,0.775959595959596,0.2824563106796118,0.6924696969696971,0.6765979381443299
11,0.7732424242424243,0.2923980582524272,0.675969696969697,0.6786701030927835
12,0.725030303030303,0.2656601941747574,0.621909090909091,0.6148144329896907
13,0.6328080808080807,0.2083495145631068,0.535,0.4914123711340206
14,0.4824747474747475,0.13116504854368932,0.4255909090909091,0.30421649484536084
15,0.2906767676767677,0.05968932038834952,0.3008333333333333,0.09761855670103094
16,0.09731313131313132,0.025252427184465992,0.16872727272727275,0.018701030927835025
17,0.010010101010101007,0.007165048543689325,0.05704545454545455,0.0023711340206185646
18,6.0606060606059825e-05,0.0003495145631067951,0.009015151515151516,-1.0842021724855044e-18
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
