,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.00020618556701030178,0.026304347826086958,0.002256198347107432,0.0012179487179487134
5,0.006402061855670084,0.10510144927536233,0.04169421487603306,0.009217948717948718
6,0.04734020618556703,0.2662173913043478,0.1959421487603306,0.02966666666666673
7,0.20735051546391753,0.4255072463768116,0.39243801652892557,0.07685897435897437
8,0.39453608247422683,0.5509710144927535,0.5574214876033058,0.1408205128205129
9,0.5389175257731958,0.6327536231884058,0.6688181818181819,0.1967051282051282
10,0.622298969072165,0.6711449275362319,0.7222314049586778,0.23987179487179489
11,0.6323608247422681,0.6752173913043478,0.7230743801652892,0.24974358974358973
12,0.583278350515464,0.6321449275362319,0.6799917355371901,0.23662820512820504
13,0.47176288659793814,0.5559710144927535,0.5902396694214876,0.18758974358974362
14,0.3084845360824742,0.45265217391304347,0.45772727272727276,0.11342307692307693
15,0.11685567010309278,0.3218985507246377,0.28102479338842973,0.04593589743589743
16,0.01811340206185568,0.17507246376811594,0.10167768595041322,0.015961538461538492
17,0.0015463917525773158,0.04965217391304347,0.011504132231404961,0.004217948717948715
18,4.123711340206114e-05,0.005550724637681159,8.673617379884035e-19,5.128205128205059e-05
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
