,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,3.3881317890172014e-21,2.0328790734103208e-20,2.371692252312041e-20,1.6940658945086007e-20,0.006
4,0.00028695652173912813,0.0017752808988764027,0.01754794520547944,5.747126436781401e-05,0.016
5,0.01759130434782609,0.014134831460674152,0.07757534246575343,0.004206896551724144,0.061
6,0.14602608695652175,0.04159550561797751,0.24963013698630127,0.03550574712643678,0.272
7,0.3842782608695652,0.10241573033707865,0.4376301369863013,0.16804597701149426,0.474
8,0.5873130434782609,0.19931460674157309,0.5873561643835615,0.3856551724137931,0.634
9,0.7280086956521739,0.27593258426966294,0.6867945205479452,0.5506551724137931,0.745
10,0.8060695652173913,0.320685393258427,0.7377397260273972,0.6518045977011494,0.812
11,0.8200000000000001,0.32964044943820225,0.7536986301369863,0.6775402298850575,0.83
12,0.7818695652173913,0.30855056179775286,0.7213835616438357,0.6319655172413793,0.807
13,0.6909304347826086,0.26392134831460673,0.6366849315068492,0.5267816091954023,0.738
14,0.5487913043478261,0.19149438202247193,0.5241369863013698,0.3529080459770115,0.624
15,0.3540695652173913,0.0982134831460674,0.389986301369863,0.13897701149425287,0.465
16,0.14195652173913045,0.036853932584269625,0.22952054794520554,0.024632183908046015,0.277
17,0.018417391304347826,0.012101123595505624,0.08268493150684929,0.0037586206896551913,0.089
18,0.0003739130434782592,0.0012134831460674177,0.017821917808219182,0.00012643678160919724,0.018
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
