,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-2.710505431213761e-20,-4.0657581468206416e-20,-1.3552527156068805e-20,6.776263578034403e-20,0.024999999999999998
4,0.020984615384615386,0.001229999999999998,0.0003622047244094453,0.0009999999999999987,0.02
5,0.08626153846153845,0.0312,0.005629921259842515,0.008791666666666673,0.075
6,0.2397384615384615,0.18081000000000003,0.03802362204724409,0.029777777777777764,0.251
7,0.40324615384615387,0.38309000000000004,0.1870944881889764,0.07143055555555558,0.428
8,0.5344307692307693,0.55058,0.37187401574803153,0.13341666666666668,0.573
9,0.6239999999999999,0.65898,0.5186456692913386,0.17895833333333339,0.683
10,0.6838153846153846,0.72811,0.6071732283464567,0.21169444444444452,0.742
11,0.7003384615384616,0.74773,0.623,0.22926388888888893,0.755
12,0.6756,0.7202000000000001,0.5831653543307087,0.21211111111111114,0.723
13,0.6128461538461538,0.63703,0.4853700787401575,0.1747499999999999,0.642
14,0.5046615384615385,0.50549,0.3365511811023622,0.1151388888888889,0.525
15,0.3629230769230769,0.3356,0.1455748031496063,0.05551388888888889,0.373
16,0.21244615384615384,0.14624,0.028818897637795313,0.020347222222222267,0.212
17,0.07266153846153844,0.02111,0.0041417322834645595,0.0052777777777777875,0.075
18,0.014169230769230773,0.00039999999999999845,9.448818897637556e-05,0.00030555555555555414,0.011
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
