,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.029073684210526328,0.0009859154929577453,0.0016106194690265483,0.0003372093023255793
5,0.12567368421052633,0.008633802816901424,0.0452212389380531,0.011604651162790698
6,0.2960736842105264,0.03274647887323945,0.21179646017699114,0.07174418604651162
7,0.4571894736842104,0.0951549295774648,0.42681415929203537,0.2382325581395349
8,0.5781263157894737,0.16169014084507038,0.5960619469026549,0.40612790697674417
9,0.6512736842105263,0.21914084507042253,0.6950265486725664,0.5322441860465116
10,0.6825789473684211,0.25433802816901413,0.738575221238938,0.5881744186046511
11,0.6772526315789473,0.25380281690140843,0.7345840707964602,0.5848953488372093
12,0.6294421052631579,0.22330985915492962,0.6810088495575222,0.5187093023255814
13,0.5441789473684211,0.17377464788732394,0.5751769911504424,0.40075581395348836
14,0.42822105263157895,0.10256338028169007,0.4177964601769912,0.23822093023255814
15,0.28190526315789466,0.03107042253521125,0.22465486725663716,0.06652325581395349
16,0.13057894736842102,0.007760563380281672,0.050884955752212385,0.010860465116279062
17,0.031126315789473686,0.0005915492957746411,0.002283185840707959,0.0006046511627906918
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
