time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200105:1310,243.8,276.01,45,0,18.32,10.77,8.07,0
20200105:1410,121.77,140.01,49,0,12.04,10.4,7.86,0
20200105:1510,9.79,0,23,0,4.04,10.22,7.03,0
20200105:1610,0,0,0,0,0,10.25,5.79,0
20200105:1710,0,0,0,0,0,10.38,4.97,0
20200105:1810,0,0,0,0,0,10.24,4.69,0
20200105:1910,0,0,0,0,0,9.94,4.62,0
20200105:2010,0,0,0,0,0,9.6,4.62,0
20200105:2110,0,0,0,0,0,9.28,4.76,0
20200105:2210,0,0,0,0,0,9.72,3.86,0
20200105:2310,0,0,0,0,0,9.37,4.21,0
20200106:0010,0,0,0,0,0,8.93,4.97,0
20200106:0110,0,0,0,0,0,8.53,5.45,0
20200106:0210,0,0,0,0,0,8.18,5.52,0
20200106:0310,0,0,0,0,0,7.97,5.17,0
20200106:0410,0,0,0,0,0,7.82,4.41,0
20200106:0510,0,0,0,0,0,7.7,3.66,0
20200106:0610,0,0,0,0,0,7.6,3.1,0
20200106:0710,10.62,0,24,0,3.88,7.43,2.69,0
20200106:0810,113.76,103.01,68,0,11.93,7.45,2.28,0
20200106:0910,222.29,199.01,91,0,18.28,7.61,1.66,0
20200106:1010,268.68,186.01,146,0,22.41,8.16,3.31,0
20200106:1110,332.98,320.01,88,0,23.88,8.24,3.79,0
20200106:1210,308.77,302.01,81,0,22.51,8.35,3.72,0
20200106:1310,242.77,270.01,48,0,18.47,8.45,4.07,0
20200106:1410,122.33,134.01,53,0,12.19,8.51,4.21,0
20200106:1510,8.53,0,21,0,4.19,8.5,4.07,0
20200106:1610,0,0,0,0,0,8.48,3.79,0
20200106:1710,0,0,0,0,0,8.51,3.24,0
20200106:1810,0,0,0,0,0,8.52,2.97,0
20200106:1910,0,0,0,0,0,8.5,2.9,0
20200106:2010,0,0,0,0,0,8.45,3.17,0
20200106:2110,0,0,0,0,0,8.42,3.59,0
20200106:2210,0,0,0,0,0,8.73,3.1,0
20200106:2310,0,0,0,0,0,8.54,3.52,0
20200107:0010,0,0,0,0,0,8.4,4.21,0
20200107:0110,0,0,0,0,0,8.32,4.14,0
20200107:0210,0,0,0,0,0,8.29,3.72,0
20200107:0310,0,0,0,0,0,8.25,3.66,0
20200107:0410,0,0,0,0,0,8.2,4.07,0
20200107:0510,0,0,0,0,0,8.16,4.41,0
20200107:0610,0,0,0,0,0,8.13,3.86,0
20200107:0710,7.23,0,19,0,3.92,8.07,3.1,0
20200107:0810,120.85,142.01,46,0,11.98,8.35,3.59,0
20200107:0910,234.92,240.01,67,0,18.35,8.82,4.34,0
20200107:1010,307.08,301.01,82,0,22.51,9.12,3.24,0
20200107:1110,297.66,220.01,146,0,24,9.34,3.31,0
20200107:1210,301.75,275.01,99,0,22.65,9.52,4.76,0
20200107:1310,129.52,22,146,0,18.62,9.5,4.34,0
20200107:1410,109.49,77,83,0,12.34,9.46,4.28,0
20200107:1510,11.21,0,25,0,4.35,9.28,5.38,0
20200107:1610,0,0,0,0,0,9.05,5.86,0
20200107:1710,0,0,0,0,0,8.97,5.93,0
20200107:1810,0,0,0,0,0,8.95,5.86,0
20200107:1910,0,0,0,0,0,8.96,6.14,0
20200107:2010,0,0,0,0,0,9.07,6.41,0
20200107:2110,0,0,0,0,0,9.27,6.48,0
20200107:2210,0,0,0,0,0,8.75,6.69,0
20200107:2310,0,0,0,0,0,8.91,6.9,0
20200108:0010,0,0,0,0,0,8.95,6.48,0
20200108:0110,0,0,0,0,0,8.86,5.93,0
20200108:0210,0,0,0,0,0,8.82,5.52,0
20200108:0310,0,0,0,0,0,8.96,5.03,0
20200108:0410,0,0,0,0,0,9.25,4.76,0
20200108:0510,0,0,0,0,0,9.26,4.62,0
20200108:0610,0,0,0,0,0,8.9,5.24,0
20200108:0710,9.88,0,23,0,3.96,8.52,5.86,0
20200108:0810,70.81,12,89,0,12.04,8.53,6.41,0
20200108:0910,128.56,21,145,0,18.44,8.87,6.69,0
20200108:1010,177.97,35,187,0,22.62,9.71,6.41,0
20200108:1110,231.7,83,201,0,24.13,9.9,6.41,0
20200108:1210,312.35,301.01,85,0,22.8,9.96,6.48,0
20200108:1310,242.33,251.01,64,0,18.77,10.02,6.83,0
20200108:1410,125.73,133.01,57,0,12.5,9.99,6.48,0
20200108:1510,9.8,0,23,0,4.51,9.94,5.93,0
20200108:1610,0,0,0,0,0,9.78,5.86,0
20200108:1710,0,0,0,0,0,9.7,5.24,0
20200108:1810,0,0,0,0,0,9.63,5.1,0
20200108:1910,0,0,0,0,0,9.55,5.1,0
20200108:2010,0,0,0,0,0,9.43,4.76,0
20200108:2110,0,0,0,0,0,9.3,4.55,0
20200108:2210,0,0,0,0,0,9.44,4.48,0
20200108:2310,0,0,0,0,0,9.47,4.41,0
20200109:0010,0,0,0,0,0,9.4,4.28,0
20200109:0110,0,0,0,0,0,9.34,4.14,0
20200109:0210,0,0,0,0,0,9.21,3.86,0
20200109:0310,0,0,0,0,0,9.04,3.59,0
20200109:0410,0,0,0,0,0,8.93,3.45,0
20200109:0510,0,0,0,0,0,8.9,3.38,0
20200109:0610,0,0,0,0,0,8.88,3.38,0
20200109:0710,7.85,0,20,0,4,8.76,3.38,0
20200109:0810,122.83,141.01,49,0,12.11,8.95,3.1,0
20200109:0910,236.08,242.01,69,0,18.53,10,2.55,0
20200109:1010,317.77,345.01,57,0,22.73,10.87,2.14,0
20200109:1110,339.07,354.01,71,0,24.27,11.31,1.93,0
20200109:1210,312.35,317.01,78,0,22.95,11.57,2.14,0
20200109:1310,248.13,284.01,46,0,18.94,11.77,2.21,0
20200109:1410,126.38,135.01,58,0,12.67,11.83,1.72,0
20200109:1510,10.36,0,24,0,4.68,11.79,1.59,0
20200109:1610,0,0,0,0,0,11.71,1.17,0
20200109:1710,0,0,0,0,0,11.66,0.69,0
20200109:1810,0,0,0,0,0,11.21,1.66,0
20200109:1910,0,0,0,0,0,10.5,2.41,0
20200109:2010,0,0,0,0,0,10.01,2.83,0
20200109:2110,0,0,0,0,0,9.67,3.1,0
20200109:2210,0,0,0,0,0,9.32,3.45,0
20200109:2310,0,0,0,0,0,8.86,3.72,0
20200110:0010,0,0,0,0,0,8.62,3.93,0
20200110:0110,0,0,0,0,0,8.46,4.07,0
20200110:0210,0,0,0,0,0,8.35,4.14,0
20200110:0310,0,0,0,0,0,8.25,4.21,0
20200110:0410,0,0,0,0,0,8.13,4.14,0
20200110:0510,0,0,0,0,0,8.06,4,0
20200110:0610,0,0,0,0,0,8.03,4.07,0
20200110:0710,7.89,0,20,0,4.06,8.03,4.07,0
20200110:0810,124.5,141.01,50,0,12.19,8.36,3.86,0
20200110:0910,240.15,247.01,67,0,18.63,9.2,3.31,0
20200110:1010,319.46,340.01,62,0,22.85,10.48,2.48,0
20200110:1110,347.08,383.01,53,0,24.41,11.42,1.72,0
20200110:1210,325.79,368.01,46,0,23.11,11.91,1.86,0
20200110:1310,242.5,254.01,68,0,19.11,12.22,1.45,0
20200110:1410,131.86,156.01,48,0,12.84,12.24,0.41,0
20200110:1510,11.02,0,25,0,4.85,12.18,1.31,0
20200110:1610,0,0,0,0,0,12.04,1.66,0
20200110:1710,0,0,0,0,0,11.78,1.24,0
20200110:1810,0,0,0,0,0,11.45,0.34,0
20200110:1910,0,0,0,0,0,10.96,0.83,0
20200110:2010,0,0,0,0,0,10.27,1.59,0
20200110:2110,0,0,0,0,0,9.66,1.93,0
20200110:2210,0,0,0,0,0,9.8,2.07,0
20200110:2310,0,0,0,0,0,9.68,2.07,0
20200111:0010,0,0,0,0,0,9.68,2.21,0
20200111:0110,0,0,0,0,0,9.69,2.55,0
20200111:0210,0,0,0,0,0,9.8,2.83,0
20200111:0310,0,0,0,0,0,9.95,3.17,0
20200111:0410,0,0,0,0,0,10,3.45,0
20200111:0510,0,0,0,0,0,10.09,3.86,0
20200111:0610,0,0,0,0,0,10.23,4.62,0
20200111:0710,9.79,0,23,0,4.12,10.15,4.76,0
20200111:0810,118.96,113.01,66,0,12.27,10.05,5.66,0
20200111:0910,233.44,218.01,84,0,18.73,9.95,7.1,0
20200111:1010,309.51,284.01,97,0,22.98,10.25,7.86,0
20200111:1110,330.71,291.01,111,0,24.57,10.19,7.72,0
20200111:1210,319.4,305.01,87,0,23.28,10.01,7.86,0
20200111:1310,237.42,209.01,95,0,19.28,9.88,7.31,0
20200111:1410,129.42,122.01,68,0,13.02,10.07,7.59,0
20200111:1510,15.38,0,31,0,5.02,10.82,7.79,0
20200111:1610,0,0,0,0,0,11.85,7.03,0
20200111:1710,0,0,0,0,0,11.74,4.28,0
20200111:1810,0,0,0,0,0,11.67,2.55,0
20200111:1910,0,0,0,0,0,11.62,2.76,0
20200111:2010,0,0,0,0,0,11.5,3.52,0
20200111:2110,0,0,0,0,0,11.44,4.28,0
20200111:2210,0,0,0,0,0,12.04,4.9,0
20200111:2310,0,0,0,0,0,11.87,4.07,0
20200112:0010,0,0,0,0,0,11.59,3.24,0
20200112:0110,0,0,0,0,0,11.31,2.9,0
20200112:0210,0,0,0,0,0,11.03,2.48,0
20200112:0310,0,0,0,0,0,10.55,1.45,0
20200112:0410,0,0,0,0,0,10,0.62,0
20200112:0510,0,0,0,0,0,9.58,1.59,0
20200112:0610,0,0,0,0,0,9.44,2.62,0
20200112:0710,8.48,0,21,0,4.19,9.37,3.17,0
20200112:0810,122.61,123.01,62,0,12.36,9.48,3.86,0
20200112:0910,192.48,101,145,0,18.84,9.72,4.97,0
20200112:1010,321.86,320.01,78,0,23.12,10.32,5.93,0
20200112:1110,351.33,347.01,81,0,24.72,10.2,6.62,0
20200112:1210,284.97,197.01,152,0,23.45,10,6.9,0
20200112:1310,195.11,95,152,0,19.46,9.89,7.38,0
20200112:1410,136.51,136.01,64,0,13.2,9.86,7.45,0
20200112:1510,11.88,0,26,0,5.2,9.82,6.9,0
20200112:1610,0,0,0,0,0,9.68,6.41,0
20200112:1710,0,0,0,0,0,9.63,5.79,0
20200112:1810,0,0,0,0,0,9.62,4.9,0
20200112:1910,0,0,0,0,0,9.6,4.14,0
20200112:2010,0,0,0,0,0,9.4,3.52,0
20200112:2110,0,0,0,0,0,9.11,3.52,0
20200112:2210,0,0,0,0,0,9,3.93,0
20200112:2310,0,0,0,0,0,9.03,4.07,0
20200113:0010,0,0,0,0,0,8.94,4.21,0
20200113:0110,0,0,0,0,0,8.88,3.93,0
20200113:0210,0,0,0,0,0,8.84,3.72,0
20200113:0310,0,0,0,0,0,8.68,3.45,0
20200113:0410,0,0,0,0,0,8.58,3.24,0
20200113:0510,0,0,0,0,0,8.55,2.97,0
20200113:0610,0,0,0,0,0,8.48,2.83,0
20200113:0710,8.53,0,21,0,4.26,8.43,2.76,0
20200113:0810,127.23,143.01,51,0,12.45,8.58,2.41,0
20200113:0910,245.56,257.01,64,0,18.96,9.03,2.14,0
20200113:1010,324.11,335.01,70,0,23.26,9.59,2.28,0
20200113:1110,344.53,338.01,89,0,24.89,9.76,1.79,0
20200113:1210,307.51,272.01,113,0,23.63,9.95,1.31,0
20200113:1310,226.67,171.01,122,0,19.65,10.09,1.17,0
20200113:1410,130.85,110.01,80,0,13.39,10.18,1.03,0
20200113:1510,13.23,0,28,0,5.39,10.21,0.48,0
20200113:1610,0,0,0,0,0,10.18,0.41,0
20200113:1710,0,0,0,0,0,10.11,0.97,0
20200113:1810,0,0,0,0,0,10.02,1.38,0
20200113:1910,0,0,0,0,0,9.82,1.72,0
20200113:2010,0,0,0,0,0,9.55,2.07,0
20200113:2110,0,0,0,0,0,9.37,2.21,0
20200113:2210,0,0,0,0,0,9.1,2.55,0
20200113:2310,0,0,0,0,0,8.91,2.97,0
20200114:0010,0,0,0,0,0,8.83,3.1,0
20200114:0110,0,0,0,0,0,8.79,2.97,0
20200114:0210,0,0,0,0,0,8.69,2.83,0
20200114:0310,0,0,0,0,0,8.53,2.97,0
20200114:0410,0,0,0,0,0,8.46,2.97,0
20200114:0510,0,0,0,0,0,8.5,2.97,0
20200114:0610,0,0,0,0,0,8.45,2.9,0
20200114:0710,11.96,0,26,0,4.34,8.39,3.1,0
20200114:0810,113.81,81,84,0,12.55,8.53,3.03,0
20200114:0910,231.44,201.01,98,0,19.09,9.15,2.9,0
20200114:1010,320.71,316.01,83,0,23.42,9.95,3.03,0
20200114:1110,364.7,403.02,47,0,25.06,10.43,3.24,0
20200114:1210,334.9,354.01,63,0,23.82,10.69,3.24,0
20200114:1310,236.26,194.01,110,0,19.84,10.88,3.24,0
20200114:1410,135.31,120.01,76,0,13.58,10.92,3.45,0
20200114:1510,11.81,0,26,0,5.58,10.79,2.97,0
20200114:1610,0,0,0,0,0,10.69,2.07,0
20200114:1710,0,0,0,0,0,10.75,0.55,0
20200114:1810,0,0,0,0,0,10.69,0.55,0
20200114:1910,0,0,0,0,0,10.45,1.31,0
20200114:2010,0,0,0,0,0,10.09,2.21,0
20200114:2110,0,0,0,0,0,9.86,2.69,0
20200114:2210,0,0,0,0,0,9.56,2.76,0
20200114:2310,0,0,0,0,0,9.48,2.48,0
20200115:0010,0,0,0,0,0,9.38,2.48,0
20200115:0110,0,0,0,0,0,9.18,2.41,0
20200115:0210,0,0,0,0,0,9.04,2.28,0
20200115:0310,0,0,0,0,0,8.84,2.14,0
20200115:0410,0,0,0,0,0,8.73,2.07,0
20200115:0510,0,0,0,0,0,8.64,2.28,0
20200115:0610,0,0,0,0,0,8.63,2.48,0
20200115:0710,8.52,0,21,0,4.43,8.64,2.41,0
20200115:0810,128.51,138.01,56,0,12.66,9.05,2.14,0
20200115:0910,246.89,262.01,62,0,19.22,10.18,1.86,0
20200115:1010,323.17,329.01,76,0,23.57,10.52,2.07,0
20200115:1110,340.27,320.01,102,0,25.24,11.12,2.28,0
20200115:1210,314.16,283.01,109,0,24.01,11.51,2.76,0
20200115:1310,229.55,172.01,124,0,20.04,11.8,2.62,0
20200115:1410,136.76,120.01,78,0,13.78,11.93,2.97,0
20200115:1510,13.13,0,28,0,5.77,11.9,3.17,0
20200115:1610,0,0,0,0,0,11.7,2.76,0
20200115:1710,0,0,0,0,0,11.61,2,0
20200115:1810,0,0,0,0,0,11.53,0.55,0
20200115:1910,0,0,0,0,0,11.19,0.97,0
20200115:2010,0,0,0,0,0,10.61,2,0
20200115:2110,0,0,0,0,0,9.94,2.34,0
20200115:2210,0,0,0,0,0,9.5,2.9,0
20200115:2310,0,0,0,0,0,9.32,2.62,0
20200116:0010,0,0,0,0,0,9.06,2.55,0
20200116:0110,0,0,0,0,0,8.61,2.55,0
20200116:0210,0,0,0,0,0,8.72,2.48,0
20200116:0310,0,0,0,0,0,8.65,2.48,0
20200116:0410,0,0,0,0,0,8.8,2.69,0
20200116:0510,0,0,0,0,0,8.98,2.62,0
20200116:0610,0,0,0,0,0,9.3,2.69,0
20200116:0710,4.69,0,15,0,4.52,9.38,2.83,0
20200116:0810,73.9,12,93,0,12.77,9.57,3.24,0
20200116:0910,230.5,195.01,102,0,19.36,10.03,3.86,0
20200116:1010,310,274.01,109,0,23.74,10.65,4.69,0
20200116:1110,357.6,362.01,75,0,25.43,10.72,5.03,0
20200116:1210,318.24,281.01,110,0,24.21,10.76,5.59,0
20200116:1310,224.83,150.01,135,0,20.25,10.71,5.79,0
20200116:1410,118.89,61,104,0,13.98,10.5,5.79,0
20200116:1510,15.43,0,31,0,5.97,10.22,6.07,0
20200116:1610,0,0,0,0,0,9.92,6.14,0
20200116:1710,0,0,0,0,0,9.77,6.14,0
20200116:1810,0,0,0,0,0,9.72,6.28,0
20200116:1910,0,0,0,0,0,9.66,6.62,0
20200116:2010,0,0,0,0,0,9.62,7.1,0
20200116:2110,0,0,0,0,0,9.54,7.45,0
20200116:2210,0,0,0,0,0,9.19,6.9,0
20200116:2310,0,0,0,0,0,9.19,7.1,0
20200117:0010,0,0,0,0,0,9.22,7.38,0
20200117:0110,0,0,0,0,0,9.31,7.03,0
20200117:0210,0,0,0,0,0,9.32,6.62,0
20200117:0310,0,0,0,0,0,9.35,6.55,0
20200117:0410,0,0,0,0,0,9.32,6.34,0
20200117:0510,0,0,0,0,0,9.34,6.14,0
20200117:0610,0,0,0,0,0,9.35,5.86,0
20200117:0710,9.16,0,22,0,4.62,9.29,5.38,0
20200117:0810,131.91,136.01,60,0,12.9,9.39,5.03,0
20200117:0910,253.81,258.01,69,0,19.51,9.94,5.24,0
20200117:1010,333.3,335.01,76,0,23.91,10.54,5.17,0
20200117:1110,357.14,345.01,91,0,25.62,10.82,4.97,0
20200117:1210,329.69,307.01,99,0,24.41,11.1,4.97,0
20200117:1310,247.44,205.01,111,0,20.45,11.38,4.28,0
20200117:1410,156.84,188.01,43,0,14.19,11.55,3.31,0
20200117:1510,11.75,0,26,0,6.17,11.6,2.48,0
20200117:1610,0,0,0,0,0,11.59,1.86,0
20200117:1710,0,0,0,0,0,11.63,2.14,0
20200117:1810,0,0,0,0,0,11.51,2.83,0
20200117:1910,0,0,0,0,0,10.9,3.38,0
20200117:2010,0,0,0,0,0,10.41,3.66,0
20200117:2110,0,0,0,0,0,10.31,3.66,0
20200117:2210,0,0,0,0,0,10.12,3.66,0
20200117:2310,0,0,0,0,0,9.88,3.45,0
20200118:0010,0,0,0,0,0,9.59,3.45,0
20200118:0110,0,0,0,0,0,9.54,3.38,0
20200118:0210,0,0,0,0,0,9.57,3.17,0
20200118:0310,0,0,0,0,0,9.56,2.97,0
20200118:0410,0,0,0,0,0,9.73,2.83,0
20200118:0510,0,0,0,0,0,10.04,3.31,0
20200118:0610,0,0,0,0,0,10.25,3.59,0
20200118:0710,13.25,0,28,0,4.72,10.32,3.31,0
20200118:0810,58.08,3,82,0,13.02,10.65,2.69,0
20200118:0910,51.72,0,77,0,19.66,11.08,1.93,0
20200118:1010,88.72,0,121,0,24.09,11.71,1.86,0
20200118:1110,173.88,21,199,0,25.82,11.86,2.41,0
20200118:1210,54.99,0,81,0,24.63,11.76,4,0
20200118:1310,21.23,0,39,0,20.67,11.72,6.07,0
20200118:1410,59.99,2,85,0,14.4,11.42,7.66,0
20200118:1510,22.85,0,41,0,6.37,10.94,7.45,0
20200118:1610,0,0,0,0,0,10.53,6.9,0
20200118:1710,0,0,0,0,0,10.01,6.97,0
20200118:1810,0,0,0,0,0,9.52,6.9,0
20200118:1910,0,0,0,0,0,9.28,6.83,0
20200118:2010,0,0,0,0,0,9.19,6.28,0
20200118:2110,0,0,0,0,0,9.17,4.62,0
20200118:2210,0,0,0,0,0,9.62,3.66,0
20200118:2310,0,0,0,0,0,9.5,2.69,0
20200119:0010,0,0,0,0,0,9.52,2.28,0
20200119:0110,0,0,0,0,0,9.59,3.31,0
20200119:0210,0,0,0,0,0,9.92,4.9,0
20200119:0310,0,0,0,0,0,9.86,6.28,0
20200119:0410,0,0,0,0,0,9.84,6.21,0
20200119:0510,0,0,0,0,0,9.86,5.31,0
20200119:0610,0,0,0,0,0,9.8,4.55,0
20200119:0710,13.29,0,28,0,4.84,9.8,5.24,0
20200119:0810,80.51,15,98,0,13.16,9.89,6.14,0
20200119:0910,82.07,1,111,0,19.82,10.01,6.14,0
20200119:1010,80.26,0,110,0,24.27,10.13,4.83,0
20200119:1110,75.08,0,104,0,26.02,10.1,4.62,0
20200119:1210,42.15,0,65,0,24.84,10.07,5.24,0
20200119:1310,41.32,0,64,0,20.89,10.12,5.52,0
20200119:1410,137.92,90,100,0,14.62,10.08,6.07,0
20200119:1510,12.56,0,27,0,6.58,10.1,6.28,0
20200119:1610,0,0,0,0,0,10.08,6.34,0
20200119:1710,0,0,0,0,0,10.09,6.21,0
20200119:1810,0,0,0,0,0,10.05,6.14,0
20200119:1910,0,0,0,0,0,9.97,5.66,0
20200119:2010,0,0,0,0,0,9.81,5.52,0
20200119:2110,0,0,0,0,0,9.59,5.59,0
20200119:2210,0,0,0,0,0,9.58,4.48,0
20200119:2310,0,0,0,0,0,9.39,4.41,0
20200120:0010,0,0,0,0,0,9.23,5.31,0
20200120:0110,0,0,0,0,0,9.11,5.66,0
20200120:0210,0,0,0,0,0,9,5.38,0
20200120:0310,0,0,0,0,0,8.94,5.1,0
20200120:0410,0,0,0,0,0,8.9,4.97,0
20200120:0510,0,0,0,0,0,8.88,4.97,0
20200120:0610,0,0,0,0,0,8.87,4.9,0
20200120:0710,13.36,0,28,0,4.95,8.9,4.55,0
20200120:0810,114.75,63,98,0,13.3,9.04,4.48,0
20200120:0910,218.3,136.01,140,0,19.99,9.26,4.55,0
20200120:1010,351.21,380.01,51,0,24.46,9.53,4.41,0
20200120:1110,364.48,345.01,97,0,26.23,9.58,4.28,0
20200120:1210,345.7,332.01,90,0,25.07,9.57,4.34,0
20200120:1310,245.4,175.01,133,0,21.11,9.55,4.28,0
20200120:1410,162.86,168.01,62,0,14.84,9.51,4,0
20200120:1510,18.44,0,35,0,6.79,9.46,4,0
20200120:1610,0,0,0,0,0,9.3,4.14,0
20200120:1710,0,0,0,0,0,9.26,4.34,0
20200120:1810,0,0,0,0,0,9.26,4.62,0
20200120:1910,0,0,0,0,0,9.28,4.83,0
20200120:2010,0,0,0,0,0,9.24,4.83,0
20200120:2110,0,0,0,0,0,9.19,4.28,0
20200120:2210,0,0,0,0,0,9.13,2.55,0
20200120:2310,0,0,0,0,0,9.07,1.45,0
20200121:0010,0,0,0,0,0,9,1.66,0
20200121:0110,0,0,0,0,0,8.96,2.21,0
