time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200314:1010,187.12,2,234,0,41.57,13.15,2.83,0
20200314:1110,444.14,205,336,0,43.84,13.24,2.62,0
20200314:1210,465.31,268,299,0,42.26,13.24,2.48,0
20200314:1310,240.19,23,275,0,37.18,13.27,2.69,0
20200314:1410,60.41,0,88,0,29.54,13.1,3.17,0
20200314:1510,48.85,0,74,0,20.24,12.91,3.17,0
20200314:1610,41.97,5,62,0,9.98,12.75,3.72,0
20200314:1710,0,0,0,0,0,12.58,4,0
20200314:1810,0,0,0,0,0,12.45,3.79,0
20200314:1910,0,0,0,0,0,12.45,3.31,0
20200314:2010,0,0,0,0,0,12.48,2.76,0
20200314:2110,0,0,0,0,0,12.31,2.48,0
20200314:2210,0,0,0,0,0,12.71,2.21,0
20200314:2310,0,0,0,0,0,12.61,1.93,0
20200315:0010,0,0,0,0,0,12.5,2.83,0
20200315:0110,0,0,0,0,0,12.38,4.07,0
20200315:0210,0,0,0,0,0,12.18,5.24,0
20200315:0310,0,0,0,0,0,11.98,5.93,0
20200315:0410,0,0,0,0,0,11.66,6,0
20200315:0510,0,0,0,0,0,11.4,6.14,0
20200315:0610,57.8,44,56,0,8.38,11.22,6.28,0
20200315:0710,213.39,161,115,0,18.78,11.17,6.34,0
20200315:0810,385.27,332.01,131,0,28.31,11.1,6.07,0
20200315:0910,522.48,496.01,123,0,36.34,11.11,5.31,0
20200315:1010,612.87,617.01,107,0,41.97,10.77,5.31,0
20200315:1110,654.31,697.01,78,0,44.24,10.68,4.97,0
20200315:1210,606.42,582.01,137,0,42.63,10.57,4.62,0
20200315:1310,556.43,580.01,80,0,37.51,10.52,4.41,0
20200315:1410,414.82,381.01,118,0,29.82,10.57,3.93,0
20200315:1510,264.7,266.01,74,0,20.49,10.69,3.17,0
20200315:1610,85.6,88,54,0,10.21,10.76,2.83,0
20200315:1710,0,0,0,0,0,10.74,2.69,0
20200315:1810,0,0,0,0,0,10.73,2.76,0
20200315:1910,0,0,0,0,0,10.8,2.76,0
20200315:2010,0,0,0,0,0,10.76,2.55,0
20200315:2110,0,0,0,0,0,10.71,2.14,0
20200315:2210,0,0,0,0,0,11.05,1.45,0
20200315:2310,0,0,0,0,0,10.89,1.52,0
20200316:0010,0,0,0,0,0,10.61,1.93,0
20200316:0110,0,0,0,0,0,10.29,2.07,0
20200316:0210,0,0,0,0,0,9.98,2.34,0
20200316:0310,0,0,0,0,0,9.76,2.28,0
20200316:0410,0,0,0,0,0,9.61,2,0
20200316:0510,0,0,0,0,0,9.53,1.52,0
20200316:0610,66.89,76,45,0,8.71,9.57,1.31,0
20200316:0710,237.22,233,79,0,19.12,10.13,0.97,0
20200316:0810,388.31,366.01,115,0,28.67,10.81,0.62,0
20200316:0910,515.98,513.01,117,0,36.72,11.39,1.52,0
20200316:1010,604.28,637.01,99,0,42.37,12.23,2.41,0
20200316:1110,624.4,626.01,131,0,44.63,12.52,3.17,0
20200316:1210,582.93,526.01,177,0,42.99,12.64,3.66,0
20200316:1310,498.87,406.01,194,0,37.83,12.7,3.93,0
20200316:1410,407.41,359.01,135,0,30.1,12.7,4.21,0
20200316:1510,265.24,260,81,0,20.74,12.69,4.55,0
20200316:1610,87.47,84,59,0,10.44,12.6,4.48,0
20200316:1710,0,0,0,0,0,12.49,4.21,0
20200316:1810,0,0,0,0,0,12.34,4.07,0
20200316:1910,0,0,0,0,0,12.28,3.45,0
20200316:2010,0,0,0,0,0,12.17,2.83,0
20200316:2110,0,0,0,0,0,12.07,2.48,0
20200316:2210,0,0,0,0,0,11.59,3.66,0
20200316:2310,0,0,0,0,0,11.54,3.72,0
20200317:0010,0,0,0,0,0,11.4,3.17,0
20200317:0110,0,0,0,0,0,11.18,2.55,0
20200317:0210,0,0,0,0,0,10.88,2.07,0
20200317:0310,0,0,0,0,0,10.6,1.45,0
20200317:0410,0,0,0,0,0,10.41,1.24,0
20200317:0510,0,0,0,0,0,10.2,1.31,0
20200317:0610,69.33,70,51,0,9.04,10.02,1.1,0
20200317:0710,235.74,216,93,0,19.46,10.59,0.69,0
20200317:0810,387.94,362.01,121,0,29.03,11.25,0.28,0
20200317:0910,500.94,479.01,142,0,37.11,11.78,0.48,0
20200317:1010,605.54,651.01,93,0,42.77,12.25,1.72,0
20200317:1110,630.89,676.01,100,0,45.03,12.53,1.93,0
20200317:1210,592.26,592.01,137,0,43.36,12.72,1.72,0
20200317:1310,508.55,457.01,166,0,38.15,12.72,1.72,0
20200317:1410,399.08,340.01,149,0,30.38,12.65,2.28,0
20200317:1510,263.25,248,91,0,20.99,12.59,2.83,0
20200317:1610,90.63,87,60,0,10.67,12.46,2.76,0
20200317:1710,0,0,0,0,0,12.27,2.48,0
20200317:1810,0,0,0,0,0,12.08,1.86,0
20200317:1910,0,0,0,0,0,11.89,0.97,0
20200317:2010,0,0,0,0,0,11.55,0.34,0
20200317:2110,0,0,0,0,0,11.24,1.52,0
20200317:2210,0,0,0,0,0,10.8,2.21,0
20200317:2310,0,0,0,0,0,10.54,2.21,0
20200318:0010,0,0,0,0,0,10.43,2.69,0
20200318:0110,0,0,0,0,0,10.51,3.17,0
20200318:0210,0,0,0,0,0,10.6,3.59,0
20200318:0310,0,0,0,0,0,10.7,3.72,0
20200318:0410,0,0,0,0,0,10.75,4.48,0
20200318:0510,0,0,0,0,0,10.78,5.17,0
20200318:0610,44.82,8,63,0,9.37,10.84,5.45,0
20200318:0710,94.37,4,123,0,19.8,11.14,5.52,0
20200318:0810,209.07,30,228,0,29.39,11.62,5.93,0
20200318:0910,286.03,49,297,0,37.49,11.96,5.93,0
20200318:1010,443.76,196,333,0,43.17,12.5,6.07,0
20200318:1110,356.75,69,359,0,45.43,12.67,6.9,0
20200318:1210,601.05,558.01,154,0,43.73,12.77,6.55,0
20200318:1310,528.35,483.01,145,0,38.48,12.92,6.07,0
20200318:1410,427.19,417.01,98,0,30.66,13.03,5.45,0
20200318:1510,265.42,255,85,0,21.24,13.09,4.69,0
20200318:1610,90.73,85,61,0,10.9,13.03,4.07,0
20200318:1710,0,0,0,0,0,12.79,4.07,0
20200318:1810,0,0,0,0,0,12.52,4.28,0
20200318:1910,0,0,0,0,0,12.3,4.28,0
20200318:2010,0,0,0,0,0,12.19,4.28,0
20200318:2110,0,0,0,0,0,12.18,4.34,0
20200318:2210,0,0,0,0,0,12.48,4.28,0
20200318:2310,0,0,0,0,0,12.55,4,0
20200319:0010,0,0,0,0,0,12.55,3.86,0
20200319:0110,0,0,0,0,0,12.45,4.14,0
20200319:0210,0,0,0,0,0,12.3,4.34,0
20200319:0310,0,0,0,0,0,12.16,4.21,0
20200319:0410,0,0,0,0,0,12.09,4,0
20200319:0510,0,0,0,0,0,12.06,3.93,0
20200319:0610,76.84,75,55,0,9.7,12.15,3.86,0
20200319:0710,249.17,238,85,0,20.15,12.63,3.93,0
20200319:0810,409.55,394.01,105,0,29.76,13.02,3.72,0
20200319:0910,538.95,558.01,94,0,37.88,13.28,3.38,0
20200319:1010,606.18,618.01,117,0,43.57,13.59,3.52,0
20200319:1110,618.24,605.01,149,0,45.83,13.68,3.1,0
20200319:1210,582.25,538.01,173,0,44.09,13.66,2.76,0
20200319:1310,508.43,448.01,173,0,38.8,13.66,2.41,0
20200319:1410,412.61,383.01,125,0,30.94,13.67,2.14,0
20200319:1510,259.27,231,104,0,21.48,13.6,1.86,0
20200319:1610,92.08,79,67,0,11.12,13.41,1.79,0
20200319:1710,0,0,0,0,0,13.09,1.86,0
20200319:1810,0,0,0,0,0,12.8,1.93,0
20200319:1910,0,0,0,0,0,12.57,2,0
20200319:2010,0,0,0,0,0,12.34,1.86,0
20200319:2110,0,0,0,0,0,12.14,1.59,0
20200319:2210,0,0,0,0,0,12.17,1.79,0
20200319:2310,0,0,0,0,0,12,2.14,0
20200320:0010,0,0,0,0,0,11.85,2.41,0
20200320:0110,0,0,0,0,0,11.63,2.55,0
20200320:0210,0,0,0,0,0,11.35,2.69,0
20200320:0310,0,0,0,0,0,11.08,2.83,0
20200320:0410,0,0,0,0,0,10.94,2.97,0
20200320:0510,0,0,0,0,0,10.82,3.1,0
20200320:0610,79.59,69,61,0,10.04,10.72,2.69,0
20200320:0710,247.64,222,98,0,20.49,11.59,2,0
20200320:0810,397.1,357.01,132,0,30.12,12.55,1.66,0
20200320:0910,513.52,477.01,150,0,38.26,13.15,2.21,0
20200320:1010,582.61,536.01,173,0,43.98,13.89,3.24,0
20200320:1110,503.45,284,328,0,46.22,14.13,3.59,0
20200320:1210,472.49,246,328,0,44.46,14.1,3.59,0
20200320:1310,502.96,411.01,198,0,39.11,13.99,3.72,0
20200320:1410,417.7,379.01,130,0,31.21,13.99,3.86,0
20200320:1510,264.88,235,104,0,21.73,13.99,4.07,0
20200320:1610,96.93,87,66,0,11.35,14.02,4,0
20200320:1710,0,0,0,0,0,13.87,3.79,0
20200320:1810,0,0,0,0,0,13.56,3.79,0
20200320:1910,0,0,0,0,0,13.41,4,0
20200320:2010,0,0,0,0,0,13.3,4.28,0
20200320:2110,0,0,0,0,0,13.25,4.28,0
20200320:2210,0,0,0,0,0,12.76,4.34,0
20200320:2310,0,0,0,0,0,12.54,3.93,0
20200321:0010,0,0,0,0,0,12.28,3.03,0
20200321:0110,0,0,0,0,0,11.97,2.14,0
20200321:0210,0,0,0,0,0,11.86,2,0
20200321:0310,0,0,0,0,0,11.89,1.86,0
20200321:0410,0,0,0,0,0,12.02,1.45,0
20200321:0510,0,0,0,0,0,11.98,1.45,0
20200321:0610,64.74,25,75,0,10.37,11.94,1.17,0
20200321:0710,234.75,181,124,0,20.83,12.18,0.34,0
20200321:0810,399.79,372.01,125,0,30.48,12.51,0.62,0
20200321:0910,525.5,525.01,121,0,38.64,12.81,1.45,0
20200321:1010,596.08,612.01,126,0,44.38,13.57,1.59,0
20200321:1110,615.91,621.01,142,0,46.62,13.98,1.86,0
20200321:1210,599.27,596.01,140,0,44.82,13.99,2.41,0
20200321:1310,526.44,488.01,152,0,39.43,13.84,3.03,0
20200321:1410,429.95,416.01,108,0,31.49,13.77,3.52,0
20200321:1510,268.77,239,104,0,21.97,13.59,3.72,0
20200321:1610,60.61,11,80,0,11.57,13.51,3.66,0
20200321:1710,0,0,0,0,0,13.36,3.79,0
20200321:1810,0,0,0,0,0,13.16,3.86,0
20200321:1910,0,0,0,0,0,13.05,3.72,0
20200321:2010,0,0,0,0,0,12.95,3.38,0
20200321:2110,0,0,0,0,0,12.86,3.03,0
20200321:2210,0,0,0,0,0,12.63,1.72,0
20200321:2310,0,0,0,0,0,12.64,0.97,0
20200322:0010,0,0,0,0,0,12.82,0.21,0
20200322:0110,0,0,0,0,0,12.97,0.9,0
20200322:0210,0,0,0,0,0,13,2.21,0
20200322:0310,0,0,0,0,0,12.78,5.52,0
20200322:0410,0,0,0,0,0,12.44,7.17,0
20200322:0510,0,0,0,0,0,12.04,6.34,0
20200322:0610,29.72,0,50,0,10.7,11.81,5.52,0
20200322:0710,82.18,1,112,0,21.18,11.68,4.76,0
20200322:0810,218.26,30,239,0,30.84,11.54,4.55,0
20200322:0910,448.94,264,271,0,39.03,11.41,4.62,0
20200322:1010,560.16,428.01,241,0,44.78,11.73,4.34,0
20200322:1110,574.3,414.01,268,0,47.02,11.46,5.24,0
20200322:1210,503.47,281,317,0,45.18,11.32,5.17,0
20200322:1310,485.26,330.01,245,0,39.75,11.26,5.38,0
20200322:1410,331.81,152,246,0,31.76,11.2,5.66,0
20200322:1510,252.47,174,141,0,22.21,11,5.79,0
20200322:1610,75.35,23,87,0,11.79,10.99,5.59,0
20200322:1710,0,0,0,0,0,11.09,5.1,0
20200322:1810,0,0,0,0,0,11.07,5.52,0
20200322:1910,0,0,0,0,0,10.85,6.97,0
20200322:2010,0,0,0,0,0,10.28,7.38,0
20200322:2110,0,0,0,0,0,9.64,7.66,0
20200322:2210,0,0,0,0,0,8.88,5.79,0
20200322:2310,0,0,0,0,0,8.46,5.66,0
20200323:0010,0,0,0,0,0,8.05,7.66,0
20200323:0110,0,0,0,0,0,7.7,9.66,0
20200323:0210,0,0,0,0,0,7.31,9.66,0
20200323:0310,0,0,0,0,0,6.92,9.24,0
20200323:0410,0,0,0,0,0,6.58,9.1,0
20200323:0510,0,0,0,0,0,6.22,9.59,0
20200323:0610,73.6,22,84,0,11.03,5.98,10.07,0
20200323:0710,212.98,84,175,0,21.52,5.79,10.21,0
20200323:0810,246.48,38,253,0,31.2,5.59,10.21,0
20200323:0910,159.09,0,195,0,39.41,5.39,10,0
20200323:1010,420.47,108,374,0,45.18,5.03,9.38,0
20200323:1110,357.26,45,368,0,47.41,5.44,9.86,0
20200323:1210,123.15,0,156,0,45.55,6.24,9.38,0
20200323:1310,262.06,18,292,0,40.06,6.77,9.17,0
20200323:1410,362.44,169,253,0,32.03,7.12,9.38,0
20200323:1510,262.83,161,158,0,22.45,7.43,9.72,0
20200323:1610,88.12,33,92,0,12.02,7.61,9.66,0
20200323:1710,0,0,0,0,0,7.54,9.59,0
20200323:1810,0,0,0,0,0,7.7,10,0
20200323:1910,0,0,0,0,0,7.75,9.93,0
20200323:2010,0,0,0,0,0,7.75,10.21,0
20200323:2110,0,0,0,0,0,7.72,10.9,0
20200323:2210,0,0,0,0,0,6.98,9.17,0
20200323:2310,0,0,0,0,0,6.65,9.52,0
20200324:0010,0,0,0,0,0,6.15,11.38,0
20200324:0110,0,0,0,0,0,6.44,12.55,0
20200324:0210,0,0,0,0,0,6.25,12.55,0
20200324:0310,0,0,0,0,0,6.07,12.76,0
20200324:0410,0,0,0,0,0,6.03,12.55,0
20200324:0510,0,0,0,0,0,5.82,12.55,0
20200324:0610,40.42,1,61,0,11.36,5.78,12.62,0
20200324:0710,68.19,0,94,0,21.86,5.73,12.21,0
20200324:0810,118.13,0,150,0,31.56,5.84,11.79,0
20200324:0910,376.05,103,330,0,39.8,6.12,11.66,0
20200324:1010,479.9,187,362,0,45.58,6.51,11.31,0
20200324:1110,485.72,174,382,0,47.81,6.68,11.66,0
20200324:1210,329.83,36,348,0,45.91,6.77,11.59,0
20200324:1310,299.95,37,314,0,40.37,6.87,11.38,0
20200324:1410,214.61,18,239,0,32.3,6.77,11.52,0
20200324:1510,114.65,4,143,0,22.69,7.03,12.14,0
20200324:1610,83.16,25,92,0,12.24,6.96,12.21,0
20200324:1710,0,0,0,0,0,6.85,12,0
20200324:1810,0,0,0,0,0,6.9,11.79,0
20200324:1910,0,0,0,0,0,6.93,11.45,0
20200324:2010,0,0,0,0,0,6.91,10.48,0
20200324:2110,0,0,0,0,0,6.87,9.59,0
20200324:2210,0,0,0,0,0,6.61,8.55,0
20200324:2310,0,0,0,0,0,6.46,7.72,0
20200325:0010,0,0,0,0,0,6.4,8.21,0
20200325:0110,0,0,0,0,0,6.28,8.62,0
20200325:0210,0,0,0,0,0,6.24,8.9,0
20200325:0310,0,0,0,0,0,6.25,8.14,0
20200325:0410,0,0,0,0,0,6.24,6.97,0
20200325:0510,0,0,0,0,0,6.24,6.48,0
20200325:0610,53.2,4,74,0,11.7,6.33,7.17,0
20200325:0710,156.33,22,172,0,22.2,6.44,8.69,0
20200325:0810,172.51,5,206,0,31.93,6.63,8.83,0
20200325:0910,248.23,14,281,0,40.18,6.74,8.28,0
20200325:1010,214.73,2,257,0,45.98,7.16,6.83,0
20200325:1110,162.45,0,201,0,48.2,7.52,7.03,0
20200325:1210,104.4,0,136,0,46.27,7.58,7.66,0
20200325:1310,61.31,0,87,0,40.69,7.98,8.21,0
20200325:1410,144.24,1,180,0,32.57,8.32,8.83,0
20200325:1510,66.35,0,93,0,22.92,8.52,9.72,0
20200325:1610,20.09,0,37,0,12.46,8.42,10.28,0
20200325:1710,0,0,0,0,0,8.64,10.9,0
20200325:1810,0,0,0,0,0,8.85,11.31,0
20200325:1910,0,0,0,0,0,8.66,11.45,0
20200325:2010,0,0,0,0,0,8.6,10.97,0
20200325:2110,0,0,0,0,0,8.48,10.07,0
20200325:2210,0,0,0,0,0,8.1,7.79,0
20200325:2310,0,0,0,0,0,8.02,8.21,0
20200326:0010,0,0,0,0,0,7.95,7.86,0
20200326:0110,0,0,0,0,0,7.65,7.1,0
20200326:0210,0,0,0,0,0,7.47,6.55,0
20200326:0310,0,0,0,0,0,7.6,6.55,0
20200326:0410,0,0,0,0,0,7.9,6.97,0
20200326:0510,0,0,0,0,0,8.13,7.66,0
20200326:0610,4.72,0,15,0,12.03,8.35,8.41,0
20200326:0710,21.6,0,39,0,22.54,8.52,9.1,0
20200326:0810,40.05,0,62,0,32.29,8.53,9.31,0
20200326:0910,54.29,0,79,0,40.56,8.66,9.24,0
20200326:1010,92.31,0,123,0,46.38,9.07,9.24,0
20200326:1110,81.64,0,111,0,48.6,9.33,8.28,0
20200326:1210,92.03,0,123,0,46.63,9.58,8.21,0
20200326:1310,144.96,0,183,0,40.99,9.91,9.1,0
20200326:1410,52.27,0,77,0,32.83,9.98,9.86,0
20200326:1510,62.47,0,89,0,23.16,9.93,9.66,0
20200326:1610,59.67,6,81,0,12.67,9.98,9.31,0
20200326:1710,0,0,0,0,0,9.83,9.1,0
20200326:1810,0,0,0,0,0,10.08,9.45,0
20200326:1910,0,0,0,0,0,10.1,9.86,0
20200326:2010,0,0,0,0,0,10.15,9.72,0
20200326:2110,0,0,0,0,0,10.09,9.17,0
20200326:2210,0,0,0,0,0,10.12,7.86,0
20200326:2310,0,0,0,0,0,10.23,7.1,0
20200327:0010,0,0,0,0,0,10.31,6.21,0
20200327:0110,0,0,0,0,0,10.43,5.45,0
20200327:0210,0,0,0,0,0,10.46,5.17,0
20200327:0310,0,0,0,0,0,10.4,5.52,0
20200327:0410,0,0,0,0,0,10.37,6.62,0
20200327:0510,0,0,0,0,0,10.35,7.03,0
20200327:0610,53.87,4,76,0,12.36,10.44,6.69,0
20200327:0710,94.08,1,125,0,22.89,10.6,6.97,0
20200327:0810,167.12,5,204,0,32.64,10.86,7.52,0
20200327:0910,181.08,1,224,0,40.94,11.09,7.79,0
20200327:1010,277.67,17,317,0,46.78,10.84,7.79,0
20200327:1110,209.35,1,256,0,48.99,10.9,7.31,0
20200327:1210,101.77,0,135,0,46.98,10.96,6.69,0
20200327:1310,76.56,0,106,0,41.3,11.04,6.28,0
20200327:1410,68.82,0,97,0,33.1,11.09,6.14,0
20200327:1510,91.09,1,122,0,23.39,11.23,5.66,0
20200327:1610,58.45,5,81,0,12.89,11.46,4.62,0
20200327:1710,0,0,0,0,0,11.77,3.24,0
20200327:1810,0,0,0,0,0,11.95,2.21,0
20200327:1910,0,0,0,0,0,12.03,1.38,0
20200327:2010,0,0,0,0,0,11.93,1.24,0
20200327:2110,0,0,0,0,0,11.71,2.21,0
20200327:2210,0,0,0,0,0,11.63,3.24,0
20200327:2310,0,0,0,0,0,11.67,4.34,0
20200328:0010,0,0,0,0,0,11.6,4.76,0
20200328:0110,0,0,0,0,0,11.53,4.83,0
20200328:0210,0,0,0,0,0,11.42,4.97,0
20200328:0310,0,0,0,0,0,11.17,5.52,0
20200328:0410,0,0,0,0,0,10.88,6,0
20200328:0510,0,0,0,0,0,10.63,6.28,0
20200328:0610,45.19,1,68,0,12.69,10.56,6,0
20200328:0710,169.28,31,182,0,23.23,10.71,5.59,0
20200328:0810,418.66,312,185,0,33,10.82,5.79,0
20200328:0910,545.19,449.01,193,0,41.33,10.99,6.07,0
20200328:1010,614.92,518.01,208,0,47.18,11.37,6.14,0
20200328:1110,613.21,471.01,255,0,49.38,11.67,6.14,0
20200328:1210,586.71,441.01,254,0,47.34,11.89,6.07,0
20200328:1310,553.15,477.01,179,0,41.61,11.98,5.52,0
20200328:1410,440.08,375.01,152,0,33.36,11.97,4.62,0
20200328:1510,274.95,201,142,0,23.63,11.94,3.72,0
20200328:1610,117.07,88,83,0,13.11,11.84,2.97,0
20200328:1710,0,0,0,0,0,11.64,2.41,0
20200328:1810,0,0,0,0,0,11.45,2.07,0
20200328:1910,0,0,0,0,0,11.28,1.93,0
20200328:2010,0,0,0,0,0,10.9,2.07,0
20200328:2110,0,0,0,0,0,10.61,2.76,0
20200328:2210,0,0,0,0,0,10.58,3.03,0
20200328:2310,0,0,0,0,0,10.58,3.24,0
20200329:0010,0,0,0,0,0,10.51,3.03,0
20200329:0110,0,0,0,0,0,10.5,2.69,0
20200329:0210,0,0,0,0,0,10.54,2.34,0
20200329:0310,0,0,0,0,0,10.6,2.34,0
20200329:0410,0,0,0,0,0,10.57,2.55,0
20200329:0510,0,0,0,0,0,10.46,3.03,0
20200329:0610,125.17,110,74,0,13.02,10.55,3.1,0
20200329:0710,295.06,251,118,0,23.56,11.33,2.69,0
20200329:0810,451.38,416.01,133,0,33.36,11.97,2.21,0
20200329:0910,562.13,539.01,148,0,41.7,12.34,1.93,0
20200329:1010,624.15,607.01,164,0,47.57,12.91,1.79,0
20200329:1110,636.91,611.01,182,0,49.77,13.2,1.52,0
20200329:1210,593.16,512.01,223,0,47.69,13.32,1.59,0
20200329:1310,560.82,530.01,155,0,41.91,13.32,2.41,0
20200329:1410,460.9,442.01,119,0,33.62,13.32,2.9,0
20200329:1510,302.89,274,107,0,23.86,13.3,3.17,0
20200329:1610,127.65,117,72,0,13.32,12.88,2.9,0
20200329:1710,1.87,0,10,0,2.49,12.5,2.69,0
20200329:1810,0,0,0,0,0,12.16,2.83,0
20200329:1910,0,0,0,0,0,11.9,3.31,0
20200329:2010,0,0,0,0,0,11.67,3.52,0
20200329:2110,0,0,0,0,0,11.46,3.24,0
20200329:2210,0,0,0,0,0,11.38,3.66,0
20200329:2310,0,0,0,0,0,11.05,3.66,0
20200330:0010,0,0,0,0,0,10.71,3.52,0
20200330:0110,0,0,0,0,0,10.28,3.38,0
20200330:0210,0,0,0,0,0,10.04,2.21,0
20200330:0310,0,0,0,0,0,10.09,1.31,0
20200330:0410,0,0,0,0,0,10.53,2.48,0
20200330:0510,1.4,0,9,0,2.51,11,2.9,0
20200330:0610,130.09,119,72,0,13.34,11.25,2.83,0
20200330:0710,304.34,274,107,0,23.9,11.8,2.62,0
20200330:0810,470.42,450.01,114,0,33.71,12.18,4.41,0
20200330:0910,596.05,572.01,129,0,42.08,12.14,7.45,0
20200330:1010,660.86,632.01,150,0,47.97,12.25,6.62,0
20200330:1110,665.53,600.01,189,0,50.16,11.99,6.28,0
20200330:1210,642.51,586.01,179,0,48.04,11.99,5.31,0
20200330:1310,591.07,583.01,122,0,42.21,12.01,4.55,0
20200330:1410,452.06,388.01,153,0,33.88,12.19,4.83,0
20200330:1510,183.72,39,192,0,24.09,12.32,5.72,0
20200330:1610,59.3,4,83,0,13.54,12.34,5.66,0
20200330:1710,0.12,0,6,0,2.7,12.23,5.52,0
20200330:1810,0,0,0,0,0,11.99,4.97,0
20200330:1910,0,0,0,0,0,11.8,4.69,0
20200330:2010,0,0,0,0,0,11.45,5.31,0
20200330:2110,0,0,0,0,0,11.09,5.72,0
20200330:2210,0,0,0,0,0,10.3,5.31,0
20200330:2310,0,0,0,0,0,9.92,4.28,0
20200331:0010,0,0,0,0,0,9.59,4.97,0
20200331:0110,0,0,0,0,0,9.36,5.1,0
20200331:0210,0,0,0,0,0,9.19,5.17,0
20200331:0310,0,0,0,0,0,9.02,5.59,0
20200331:0410,0,0,0,0,0,8.85,5.31,0
20200331:0510,0,0,2,0,2.83,8.61,4.55,0
20200331:0610,56.46,2,80,0,13.67,8.39,4.34,0
20200331:0710,49.21,0,73,0,24.24,8.25,4.83,0
20200331:0810,84.46,0,114,0,34.07,8.21,4.41,0
20200331:0910,122.17,0,157,0,42.46,8.12,3.52,0
20200331:1010,394.57,87,381,0,48.36,8.13,3.59,0
20200331:1110,402.05,80,393,0,50.55,8.12,5.59,0
20200331:1210,429.08,117,384,0,48.39,7.94,6.9,0
20200331:1310,196.23,2,237,0,42.51,7.82,6.9,0
20200331:1410,206.93,13,238,0,34.14,7.78,6.28,0
20200331:1510,273.5,163,168,0,24.31,7.91,6.21,0
20200331:1610,115.42,61,99,0,13.75,8.34,6.07,0
20200331:1710,3.05,1,11.83,0,2.91,8.86,6.34,0
20200331:1810,0,0,0,0,0,9.21,7.86,0
20200331:1910,0,0,0,0,0,9.17,8.76,0
20200331:2010,0,0,0,0,0,8.91,8.62,0
20200331:2110,0,0,0,0,0,8.62,8.34,0
20200331:2210,0,0,0,0,0,8.16,8.48,0
20200331:2310,0,0,0,0,0,8.03,9.17,0
20200401:0010,0,0,0,0,0,7.99,9.86,0
20200401:0110,0,0,0,0,0,7.97,10.14,0
20200401:0210,0,0,0,0,0,7.96,9.93,0
20200401:0310,0,0,0,0,0,7.86,9.72,0
20200401:0410,0,0,0,0,0,7.78,9.52,0
20200401:0510,3.57,0,13,0,3.16,7.72,9.45,0
20200401:0610,138.97,100,92,0,13.99,7.77,9.59,0
20200401:0710,311.64,222,151,0,24.57,7.78,9.86,0
20200401:0810,345.03,117,286,0,34.42,7.77,9.72,0
20200401:0910,606.08,502.01,193,0,42.84,7.78,9.45,0
20200401:1010,237.82,3,282,0,48.76,7.75,8.14,0
20200401:1110,206.81,0,251,0,50.94,7.79,6.55,0
20200401:1210,581.84,347,330,0,48.74,7.98,6.55,0
20200401:1310,574.49,438.01,229,0,42.81,8.22,6.69,0
20200401:1410,514.43,505.01,96,0,34.39,8.46,6.07,0
20200401:1510,335.13,305,102,0,24.54,8.75,5.59,0
20200401:1610,143.31,125,78,0,13.96,9.04,5.1,0
20200401:1710,4.25,2,13.62,0,3.12,9.32,4.83,0
20200401:1810,0,0,0,0,0,9.51,4.62,0
20200401:1910,0,0,0,0,0,9.69,4.34,0
20200401:2010,0,0,0,0,0,9.7,3.86,0
20200401:2110,0,0,0,0,0,9.64,3.38,0
20200401:2210,0,0,0,0,0,9.53,2.9,0
20200401:2310,0,0,0,0,0,9.27,2.97,0
20200402:0010,0,0,0,0,0,8.95,2.97,0
20200402:0110,0,0,0,0,0,8.62,3.31,0
20200402:0210,0,0,0,0,0,8.4,3.45,0
20200402:0310,0,0,0,0,0,8.26,3.52,0
20200402:0410,0,0,0,0,0,8.17,3.79,0
20200402:0510,5.95,0,17,0,3.48,8.17,3.86,0
20200402:0610,156.58,155,67,0,14.32,8.38,3.24,0
20200402:0710,342.61,322,97,0,24.91,8.67,3.1,0
20200402:0810,505.46,494.01,108,0,34.77,9,3.03,0
20200402:0910,621.79,623.01,120,0,43.21,9.24,2.97,0
20200402:1010,691.31,686.01,140,0,49.15,9.13,3.52,0
20200402:1110,690.94,627.01,197,0,51.32,9.24,3.93,0
20200402:1210,650.23,546.01,225,0,49.09,9.29,4.34,0
20200402:1310,626.41,620.01,120,0,43.11,9.28,4.34,0
20200402:1410,499.24,472.01,120,0,34.64,9.27,3.86,0
20200402:1510,326.38,279,121,0,24.77,9.24,3.17,0
20200402:1610,147.45,131,78,0,14.17,9.22,2.69,0
20200402:1710,5.45,2,15.6,0,3.33,9.17,2,0
20200402:1810,0,0,0,0,0,9.13,1.38,0
20200402:1910,0,0,0,0,0,9.08,0.28,0
20200402:2010,0,0,0,0,0,8.99,0.76,0
20200402:2110,0,0,0,0,0,8.9,1.72,0
20200402:2210,0,0,0,0,0,9.09,2.62,0
20200402:2310,0,0,0,0,0,8.96,2.69,0
20200403:0010,0,0,0,0,0,8.83,2.55,0
20200403:0110,0,0,0,0,0,8.71,2.28,0
20200403:0210,0,0,0,0,0,8.61,1.93,0
20200403:0310,0,0,0,0,0,8.55,1.72,0
20200403:0410,0,0,0,0,0,8.51,1.45,0
20200403:0510,7.86,0,20,0,3.8,8.43,1.45,0
20200403:0610,158.35,155,69,0,14.64,8.42,1.24,0
20200403:0710,336.55,309,106,0,25.24,8.87,1.52,0
