,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.02742105263157894,0.0007160493827160453,0.0013235294117647008,0.0010119047619047581,0.03386363636363636
5,0.12524999999999997,0.00707407407407408,0.04633333333333334,0.016952380952380948,0.13009090909090912
6,0.2960921052631579,0.02703703703703708,0.22887254901960785,0.09088095238095238,0.29068181818181815
7,0.45978947368421047,0.09672839506172842,0.4415,0.26913095238095236,0.44236363636363635
8,0.5810789473684211,0.1794691358024691,0.6084901960784314,0.43848809523809523,0.5591363636363637
9,0.6493421052631579,0.24228395061728392,0.7132254901960784,0.5601071428571428,0.6468636363636364
10,0.6749078947368421,0.2752592592592592,0.7604019607843137,0.6201785714285715,0.7003181818181818
11,0.6559342105263157,0.2767037037037038,0.7553529411764706,0.6090238095238095,0.7012727272727273
12,0.5993684210526316,0.24735802469135804,0.7006862745098039,0.5293333333333333,0.6538181818181819
13,0.5165526315789474,0.19090123456790126,0.5913529411764706,0.4121190476190476,0.5655454545454546
14,0.40530263157894736,0.10922222222222228,0.4313529411764706,0.25672619047619044,0.44599999999999995
15,0.27025,0.03371604938271608,0.23274509803921567,0.08321428571428574,0.3008181818181819
16,0.12651315789473683,0.009197530864197556,0.05042156862745098,0.01559523809523812,0.14645454545454545
17,0.02988157894736842,0.0007654320987654402,0.001774509803921574,0.0012976190476190544,0.03981818181818182
18,-6.776263578034403e-21,6.776263578034403e-21,2.0328790734103208e-20,6.776263578034403e-21,0.001
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
