,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,1.0164395367051604e-20,1.0164395367051604e-20,6.776263578034403e-21,0.0001363636363636365
4,0.0018814814814814866,0.0009555555555555576,0.0029729729729729712,0.033545454545454545
5,0.01762222222222221,0.008133333333333333,0.04702702702702703,0.11857575757575758
6,0.07857037037037035,0.02888888888888888,0.20921621621621622,0.26756060606060617
7,0.23897777777777776,0.07510000000000003,0.40552702702702703,0.41280303030303034
8,0.4082148148148148,0.13189999999999996,0.5691756756756756,0.5267878787878788
9,0.5274,0.17779999999999996,0.6760675675675676,0.6026363636363636
10,0.5897481481481481,0.20534444444444444,0.7316216216216216,0.6488484848484848
11,0.5893481481481482,0.20952222222222222,0.734108108108108,0.6515454545454546
12,0.5312,0.18944444444444442,0.6824054054054054,0.6078787878787879
13,0.4205037037037037,0.14822222222222226,0.5920135135135135,0.5254090909090909
14,0.27124444444444445,0.09235555555555555,0.45859459459459456,0.4209848484848485
15,0.10774814814814815,0.03805555555555555,0.28328378378378377,0.2991212121212121
16,0.025911111111111114,0.01433333333333335,0.10321621621621621,0.1673636363636364
17,0.004192592592592595,0.002966666666666668,0.012486486486486485,0.0542878787878788
18,6.666666666666626e-05,6.666666666666626e-05,6.75675675675671e-05,0.007181818181818183
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
