,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0019813084112149503,0.001360824742268037,0.030431372549019627,0.0006101694915254183
5,0.059672897196261676,0.019701030927835067,0.13702941176470584,0.0067796610169491775
6,0.2511588785046729,0.10945360824742267,0.30976470588235294,0.04188135593220338
7,0.46202803738317755,0.2846082474226804,0.4701960784313726,0.12455932203389825
8,0.6207102803738318,0.4436185567010309,0.5966274509803922,0.20457627118644067
9,0.7175981308411215,0.5415051546391753,0.6729607843137255,0.26101694915254237
10,0.758373831775701,0.5858865979381443,0.7049313725490196,0.2837796610169492
11,0.7464953271028038,0.5795670103092784,0.6975686274509804,0.2732203389830508
12,0.6842336448598131,0.5127216494845361,0.6498137254901961,0.23289830508474585
13,0.5687383177570093,0.39509278350515464,0.555735294117647,0.16969491525423736
14,0.40284112149532714,0.24008247422680415,0.42604901960784314,0.08942372881355934
15,0.2025981308411215,0.0711649484536083,0.26859803921568626,0.020491525423728868
16,0.03685046728971963,0.010463917525773199,0.1104901960784313,0.0037966101694915447
17,0.0005887850467289667,0.0003917525773195806,0.021813725490196077,0.00037288135593220237
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
