,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.013191176470588236,3.846153846153626e-05,0.0006641791044776123,0.00013559322033898386
5,0.07233823529411765,0.005259615384615366,0.026738805970149254,0.003152542372881345
6,0.23485294117647065,0.03972115384615382,0.1732537313432836,0.018627118644067783
7,0.40272058823529416,0.17122115384615383,0.3856492537313433,0.0760847457627119
8,0.5371470588235294,0.34528846153846154,0.5632089552238806,0.15335593220338983
9,0.6280294117647058,0.501576923076923,0.6798582089552239,0.21449152542372885
10,0.6813382352941176,0.5940096153846154,0.7467537313432837,0.2519661016949153
11,0.6931176470588235,0.6146923076923076,0.7642985074626865,0.2623898305084746
12,0.6611470588235294,0.5746538461538462,0.7304402985074627,0.24161016949152536
13,0.5959705882352941,0.47888461538461535,0.6401343283582089,0.1926610169491525
14,0.49776470588235294,0.34134615384615385,0.5007835820895523,0.12871186440677962
15,0.3594705882352941,0.1650673076923077,0.32529104477611936,0.049661016949152564
16,0.19714705882352943,0.0315673076923077,0.13106716417910447,0.008491525423728816
17,0.05372058823529412,0.0026442307692307616,0.015611940298507463,0.001220338983050847
18,0.005617647058823528,2.884615384615469e-05,2.9850746268657432e-05,6.505213034913027e-19
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
