,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.002022222222222223,0.0007472527472527479,0.0007758620689655195,0.027250000000000003
5,0.037344444444444444,0.006989010989010995,0.009568965517241387,0.10174999999999998
6,0.18852222222222223,0.02451648351648343,0.05462068965517238,0.2509558823529412
7,0.3834777777777778,0.07178021978021976,0.20256034482758623,0.40360294117647055
8,0.5488333333333334,0.14249450549450549,0.37581896551724137,0.5321617647058824
9,0.6548555555555556,0.2029780219780219,0.5083965517241379,0.6212941176470589
10,0.7073666666666667,0.23708791208791208,0.5866896551724138,0.6638823529411765
11,0.7171,0.2407912087912087,0.6058275862068966,0.6613235294117648
12,0.6782999999999999,0.22113186813186808,0.5586810344827586,0.6281176470588234
13,0.5947222222222223,0.18162637362637357,0.4572241379310345,0.5595441176470588
14,0.4705222222222222,0.11884615384615385,0.30637931034482757,0.4576470588235294
15,0.3061555555555556,0.04996703296703292,0.13163793103448276,0.3276029411764706
16,0.1261,0.017659340659340633,0.03154310344827586,0.18766176470588236
17,0.01713333333333333,0.004230769230769239,0.005094827586206907,0.06597058823529413
18,0.000255555555555554,0.00015384615384615241,0.0001724137931034468,0.01210294117647059
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
