,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.017972602739726024,0.0014285714285714275,0.0005729166666666643,0.00020535714285713994
5,0.08008219178082193,0.010404761904761889,0.023906250000000004,0.00474999999999998
6,0.23084931506849315,0.029940476190476156,0.16454166666666667,0.0359732142857143
7,0.3962465753424657,0.06830952380952385,0.36941666666666667,0.1810982142857143
8,0.5342876712328768,0.12855952380952385,0.54259375,0.37570535714285713
9,0.6282465753424658,0.1826071428571429,0.6603125,0.5236785714285714
10,0.6853287671232877,0.21757142857142858,0.7259479166666667,0.6094464285714286
11,0.6983013698630137,0.22219047619047627,0.7387395833333333,0.6314553571428572
12,0.6722602739726027,0.20360714285714288,0.7013333333333334,0.5905535714285715
13,0.600013698630137,0.1684404761904763,0.6187708333333334,0.4975178571428571
14,0.4890821917808219,0.12014285714285713,0.4901458333333334,0.34748214285714285
15,0.3645753424657534,0.06564285714285714,0.32546875000000003,0.15361607142857142
16,0.21427397260273975,0.025571428571428634,0.13928125000000002,0.030562500000000048
17,0.07632876712328766,0.007666666666666683,0.019510416666666665,0.004955357142857168
18,0.015095890410958905,0.0007738095238095225,0.000270833333333333,0.0002589285714285701
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
