,cluster 0,cluster 1,cluster 2,cluster 3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0010990099009901009,0.0010989010989010993,0.0019139784946236573,0.029187500000000005
5,0.017554455445544553,0.008714285714285723,0.04590322580645161,0.12006250000000003
6,0.08240594059405941,0.030813186813186802,0.22433333333333333,0.2829625
7,0.24932673267326733,0.10015384615384615,0.43611827956989246,0.4418875
8,0.42813861386138613,0.18309890109890103,0.6019784946236559,0.5689125
9,0.5535841584158416,0.25196703296703304,0.7081827956989247,0.6544375
10,0.6086039603960396,0.2928681318681318,0.7594623655913979,0.684525
11,0.5970990099009901,0.2991868131868131,0.7603870967741936,0.6682625
12,0.5365940594059406,0.2615164835164835,0.7138924731182795,0.62705
13,0.4306336633663366,0.1994615384615385,0.6138387096774194,0.5506875
14,0.27633663366336636,0.11924175824175826,0.45420430107526877,0.4408125
15,0.10584158415841585,0.04073626373626377,0.25494623655913984,0.29969999999999997
16,0.025089108910891084,0.012626373626373623,0.07203225806451613,0.151675
17,0.002980198019801983,0.002461538461538463,0.004709677419354841,0.04000000000000002
18,1.0842021724855044e-19,2.1978021978021967e-05,-5.421010862427522e-20,0.002149999999999999
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
